Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,40.26707458496094,59.45050048828125,53.22063446044922,180.00738525390625,20.10700035095215,40.276426884472016,59.5,53.357999362017694,180.16614305976034,20.165000915527344,39.56580192963127,58.5255012512207,52.21941091232708,176.16752355717324,19.54199981689453,39.77618586634448,58.599998474121094,52.21941091232708,176.29650102694924,19.610000610351562,102223600,53890000,31766000,18151900,109669000
2018-01-03,40.26005935668945,60.209999084472656,54.12862777709961,183.2321014404297,20.5049991607666,40.802378551359595,60.27450180053711,54.355750700510285,183.34124555259893,20.621000289916992,40.196947390215975,59.415000915527344,53.23154311672444,179.91811132907898,20.149999618530273,40.330187330739136,59.415000915527344,53.256335915730126,180.46383188992525,20.204999923706055,118071600,62176000,31318000,16886600,85914000
2018-01-04,40.44707107543945,60.47949981689453,54.33889389038086,182.89471435546875,20.562999725341797,40.54992497445396,60.79349899291992,54.75148424777262,184.76008056071637,20.704999923706055,40.22500210267125,60.233001708984375,54.26451170182566,182.66650949205325,20.399999618530273,40.3325285848356,60.25,54.4048503854512,183.46026817175525,20.6200008392334,89738400,60442000,26052000,13880900,60296000
2018-01-05,40.9075813293457,61.457000732421875,55.05943298339844,185.39512634277344,20.999000549316406,40.99407050276175,61.457000732421875,55.22258571487363,185.4447249132327,21.00200080871582,40.4517547079046,60.5,54.63841320373191,183.49006281380875,20.55900001525879,40.54292003219282,60.8754997253418,54.720237383951606,184.1449274556417,20.725000381469727,94640000,70894000,30250000,13574500,70332000
2018-01-08,40.755638122558594,62.34349822998047,55.25382614135742,186.81398010253906,21.204999923706055,41.050171408244445,62.65399932861328,55.49929868498433,187.4291477052418,21.25,40.65745679380547,61.60150146484375,55.04505284208835,184.87916656179783,20.8439998626709,40.755638122558594,61.79999923706055,55.094642223098475,185.7423875707489,21.00200080871582,82271200,85590000,24644000,17994700,55802000
2018-01-09,40.750953674316406,62.6349983215332,55.18341064453125,186.40716552734375,20.930999755859375,40.921595685232134,62.96649932861328,55.463596141591765,187.32993205476637,21.29800033569336,40.53589715868877,62.0880012512207,54.95579208730221,185.64317195063535,20.858999252319336,40.802380620103136,62.845001220703125,55.463596141591765,187.23070463806178,21.211000442504883,86336000,73226000,26808000,12393100,61259000
2018-01-10,40.741600036621094,62.71649932861328,55.05199432373047,186.37742614746094,21.25200080871582,40.74393989480724,62.71649932861328,55.182912254345965,186.42703986268575,21.36400032043457,40.440054379738385,61.86149978637695,54.74652041343671,184.18464225033807,20.69099998474121,40.477456442146824,62.25749969482422,54.89627981139507,185.4844398333351,20.756999969482422,95839600,53720000,20734000,10529900,59515000
2018-01-11,40.973018646240234,63.83399963378906,55.1467170715332,186.30796813964844,21.724000930786133,41.02210929584681,63.8385009765625,55.28556886064353,186.93305246691168,21.774999618530273,40.788351771134415,62.823001861572266,54.870500380318546,185.92100540754097,21.334999084472656,40.8117253834916,62.98699951171875,55.159610992440236,186.93305246691168,21.429000854492188,74670800,62500000,22424000,9588600,76595000
